	      Time	     dPmax	     dVmax	     dSmax	     dNmax	     CFL

	    0.0125	   200.463	0.00312956	0.00492171	0.000501178	0.00120233
	    0.0625	   224.423	0.00878406	0.00978753	         1	0.00478653
	    0.1625	   176.446	0.00790602	0.00768486	         1	0.00956447
	    0.2625	   74.5895	0.00711745	 0.0049861	         1	0.00958811
	    0.3625	   51.0292	0.00640865	0.00406405	         1	0.00962358
	    0.4625	    28.829	0.00577064	0.00310692	         1	0.00963868
	    0.5625	   24.0152	0.00519605	0.00277138	         1	 0.0096359
	    0.6625	   20.7779	0.00467857	0.00247746	  0.922944	0.00963271
	    0.7625	   18.2508	0.00421232	0.00223048	         1	0.00962952
	    0.8625	   15.9162	0.00379238	0.00202098	         1	0.00962644
	    0.9625	   13.4535	0.00341419	0.00184183	         1	 0.0096221
	         1	   4.71023	0.00328631	0.000641628	         1	 0.0036078
	       1.1	   11.8045	0.00295852	0.00154328	         1	0.00961679
	       1.2	   11.2172	0.00266342	0.00134707	         1	0.00961375
	       1.3	   10.5981	0.00239777	0.00118483	  0.755882	0.00961129
	       1.4	   9.96185	 0.0021586	0.00105017	  0.565634	0.00960928
	       1.5	   9.31373	0.00194332	0.000937952	         1	0.00960759
	       1.6	   8.68442	 0.0017495	0.000858135	         1	0.00960628
	       1.7	   8.09057	0.00157503	0.000836884	   0.97323	 0.0096053
	       1.8	   7.50751	0.00141799	0.000817392	  0.654747	 0.0096046
	       1.9	   6.96311	0.00127662	0.000799726	  0.490965	0.00960262
	         2	   6.46067	0.00114936	0.000781676	         1	 0.0096006
	       2.1	   6.06565	0.00103479	0.000765171	  0.619207	0.00959902
	       2.2	   5.78541	0.000931658	0.00075004	         1	0.00959779
	       2.3	   5.51039	0.000838813	0.000729724	  0.999999	0.00959692
	       2.4	     5.243	0.000755229	0.000713808	         1	0.00959635
	       2.5	   4.98359	0.000679983	0.000700075	         1	0.00959598
	       2.6	   4.73442	0.00061224	0.000687732	         1	0.00959577
	       2.7	   4.50642	0.000551255	0.000676413	  0.922622	0.00959569
	       2.8	   4.29237	0.000496354	0.000665815	  0.636644	0.00973896
	       2.9	    4.2062	0.000446931	0.000655841	         1	  0.010674
	         3	   4.21414	0.000402439	0.000646403	   0.76632	 0.0114991
	       3.1	   4.19541	0.000362388	0.000637419	         1	 0.0122191
	       3.2	   4.15344	0.000326334	0.000628829	  0.756684	 0.0128397
	       3.3	   4.09147	0.000293879	0.000620577	   0.55706	 0.0133666
	       3.4	   4.01258	0.000264663	0.000612274	  0.999114	 0.0138059
	       3.5	   3.91961	0.000238363	0.000600124	         1	 0.0141638
	       3.6	   3.81545	0.00021473	0.000590414	  0.861218	 0.0144463
	       3.7	   3.70204	0.000193493	0.000581746	         1	 0.0146596
	       3.8	   3.58182	0.000174393	0.000573674	  0.709573	 0.0148094
	       3.9	   3.74148	0.000157202	0.000565925	  0.999806	 0.0149014
	         4	   3.99162	0.000141718	0.000558278	  0.789112	 0.0149412
	       4.1	   4.15213	0.000127756	0.000550089	         1	 0.0149342
	       4.2	   4.23311	0.000115159	0.000541986	  0.679404	 0.0148853
	       4.3	   4.41217	0.000106935	0.000533981	  0.507232	 0.0147994
	       4.4	   4.51916	9.67569e-05	0.000526226	  0.594246	 0.0147346
	       4.5	   4.54436	8.70912e-05	0.000518352	         1	  0.015542
	       4.6	   4.50264	8.97074e-05	0.000510304	         1	 0.0161449
