	      Time	        dt	     dPmax	     dVmax	     dSmax	     dNmax	      CFL
	      Days	      Days	      Psia	          	          	          	        

	         1	         1	   520.823	5.51412e-06	 0.0483355	 0.0654484	6.46543e-08
	         2	         1	   279.276	1.59402e-06	 0.0435204	 0.0569725	 0.0734895
	   3.07421	   1.07421	   248.386	0.00456771	 0.0374653	 0.0502895	  0.125416
	         4	  0.925794	   62.4455	8.22255e-05	 0.0259579	 0.0333635	   0.13799
	         5	         1	    70.417	 0.0001163	 0.0212103	 0.0293266	  0.176009
	         7	         2	   101.116	0.000241483	 0.0286968	 0.0406837	  0.368723
	        11	         4	   184.545	0.00333277	 0.0498565	 0.0624244	  0.777091
	        13	         2	   61.7298	0.000161346	 0.0245011	 0.0311632	  0.370557
	        14	         1	   29.6613	0.000445441	 0.0120104	 0.0155375	  0.182741
	        16	         2	   55.0816	0.000100578	 0.0202068	 0.0268812	  0.359962
	        20	         4	   94.4007	0.00172664	 0.0316195	 0.0432972	  0.705087
	        28	         8	   110.913	1.82558e-05	   0.05843	 0.0706634	   1.35834
	        38	        10	   104.474	2.20034e-08	 0.0537712	 0.0688338	   1.66039
	        42	         4	   37.5627	 0.0049736	 0.0191806	 0.0260747	   0.63106
	        43	         1	   24.8252	4.01369e-06	0.00495455	 0.0069645	  0.154758
	        45	         2	   28.5028	1.37335e-05	0.00995089	 0.0124889	  0.309153
	        49	         4	   31.0447	0.00379203	 0.0206563	 0.0262727	  0.612947
	        50	         1	   24.0939	3.74362e-06	0.00514578	0.00664262	  0.150614
	        51	         1	   15.1543	2.82585e-06	0.00499338	 0.0065574	  0.150361
	        53	         2	   15.4424	1.28262e-05	0.00950664	 0.0125757	  0.299709
	        57	         4	   27.3314	4.93036e-05	 0.0179786	 0.0230386	  0.595241
	        65	         8	   51.3601	4.71604e-06	  0.031881	 0.0391189	   1.17406
	        75	        10	   49.4154	3.57832e-06	 0.0401298	  0.049888	    1.4401
	        85	        10	   43.3943	4.29378e-06	 0.0341449	 0.0438141	   1.41566
	        95	        10	   41.9013	2.07692e-06	 0.0307301	 0.0389186	    1.3909
	       105	        10	   40.5714	1.59899e-07	 0.0313998	 0.0389873	   1.36909
	       115	        10	     40.16	6.69235e-07	 0.0290174	 0.0374859	    1.3504
	       125	        10	   43.0525	 7.382e-07	 0.0260308	 0.0336904	   1.33413
	       135	        10	   50.9503	1.82797e-06	 0.0269568	 0.0330592	   1.31922
	       145	        10	   41.0952	2.33365e-07	 0.0270687	 0.0343315	   1.30504
	       155	        10	   41.4114	5.65737e-07	 0.0245158	 0.0315953	   1.29122
	       165	        10	   42.9865	1.68463e-06	  0.022366	 0.0286769	     1.278
	       175	        10	   40.1626	4.88227e-06	 0.0230415	  0.028202	   1.26613
	   182.625	     7.625	   30.7086	0.000974905	 0.0176716	 0.0223091	  0.958624
	   183.625	         1	   4.96664	6.32628e-07	0.00231155	0.00292814	  0.124878
	   185.625	         2	    8.4179	2.92956e-06	0.00460907	0.00595915	   0.24964
	   189.625	         4	    14.586	1.22544e-05	0.00930614	 0.0121091	  0.498434
	   197.625	         8	   29.9963	0.000161454	 0.0164452	 0.0215388	  0.993597
	   207.625	        10	   38.9035	0.000178195	 0.0207873	  0.026878	   1.23379
	   217.625	        10	   37.1371	9.96344e-07	 0.0203459	 0.0251596	   1.22386
	   227.625	        10	   34.5909	1.74241e-07	  0.020727	 0.0259504	   1.21533
