The 1th Row
	      TIME	    NRiter	    LSiter	       FPR	      FOPR	      FOPT	      FGPR	      FGPT	      FWPR	      FWPT
	       DAY	          	          	      PSIA	   STB/DAY	       STB	  MSCF/DAY	      MSCF	   STB/DAY	       STB
	          	          	          	          	          	          	          	          	          	          
	       0.1	         1	         3	   4794.31	     20000	      2000	     25400	      2540	2.64769e-16	2.64769e-17
	       0.4	         1	         3	   4794.69	     20000	      8000	     25400	     10160	0.000280908	8.42724e-05
	         1	         1	         4	   4795.45	     20000	     20000	     25400	     25400	0.000848153	0.000593164
	       1.1	         1	         3	   4795.58	     20000	     22000	     25400	     27940	0.00162571	0.000755735
	       1.4	         1	         3	   4795.98	     20000	     28000	     25400	     35560	0.00174597	0.00127953
	       2.3	         1	         4	   4797.19	     20000	     46000	     25400	     58420	0.00205063	0.00312509
	       2.8	         1	         3	   4797.98	     20000	     56000	     25400	     71120	0.00268838	0.00446928
	      2.95	         1	         3	   4798.43	     20000	     59000	     25400	     74930	0.00298051	0.00491635
	      3.05	         1	         3	   4798.73	     20000	     61000	     25400	     77470	0.00306309	0.00522266
	      3.15	         1	         3	   4799.03	     20000	     63000	     25400	     80010	0.00311613	0.00553428
	      3.25	         1	         3	   4799.33	     20000	     65000	     25400	     82550	0.00316733	0.00585101
	      3.35	         1	         3	   4799.62	     20000	     67000	     25400	     85090	0.00321678	0.00617269
	      3.45	         1	         3	   4799.92	     20000	     69000	     25400	     87630	0.00326461	0.00649915
	      3.55	         1	         3	   4800.21	     20000	     71000	     25400	     90170	0.00331092	0.00683024
	      3.65	         1	         3	    4800.5	     20000	     73000	     25400	     92710	 0.0033558	0.00716582
	      3.75	         1	         3	   4800.78	     20000	     75000	     25400	     95250	0.00339933	0.00750575
	      3.85	         1	         3	   4801.06	     20000	     77000	     25400	     97790	0.00344159	0.00784991
	      3.95	         1	         3	   4801.34	     20000	     79000	     25400	    100330	0.00348267	0.00819818
	         4	         1	         2	   4801.48	     20000	     80000	     25400	    101600	0.00352261	0.00837431
	       4.1	         1	         3	   4801.76	     20000	     82000	     25400	    104140	0.00354227	0.00872854
